item_id,item_name,product_code
6767,Aafi Mango Fruit Drink 1 Ltr,100218
276964,Aafi Mango Fruit Drink 500 ML Pet,100219
9191,Aafi Mango Pickle 400 G,100220
189229,Aafi Mixed Pickle 400 GM,100221
9196,Aafi Mixed Pickle 400 G BD,100222
9190,Aafi Olive Pickle 400 G,100223
100277,Aafi Pickle (olive) 400 GM,100224
100280,Aafi Puffed Rice 250 GM,100225
100846,Aam Himshagor KG,100226
100843,Aam Lengra Premium KG,100227
44618,Aam Sotto Per KG,100228
133276,Aamontron Shaie Poly Pack,100229
41640,Aamra PC,100230
78137,Aamras Mango 250 ML,100231
57791,Aandh Bkng Soda,100232
132647,Aaram Apple 100% Fruit Juice 1 Ltr.,100233
6748,Aaram Apple Juice 1 Ltr,100234
28791,Aaram Juice Apple 1 Ltr,100235
132645,Aaram Mango 100% Fruit Juice 1 Ltr.,100236
31925,Aaram Mango Juice 1 L,100237
6746,Aaram Mango Juice 1 Ltr,100238
132646,Aaram Orange 100% Fruit Juice 1 Ltr.,100239
31926,Aaram Orange Juice 1 L,100240
6747,Aaram Orange Juice 1 Ltr,100241
29473,Aarong Austagram Cheese 100 GM,100242
188758,Aarong Banglamooti 5 KG,100243
133602,Aarong Banglamoti Rice 5 KG,100244
133603,Aarong Basmati Rice 1 KG,100245
203773,Aarong Bulk Butter 1 KG,100246
65675,Aarong Bundle Product,100247
29645,Aarong Butter 200 GM,100248
274637,Aarong Cheese Classic Pizza 204 GM,100249
186186,Aarong Cheese Cube 120 GM,100250
29478,Aarong Cheese Cube Claasic 120 G,100251
29479,Aarong Cheese Spread Chili Garlic 180 G,100252
29443,Aarong Cheese Spread Classic 180 G,100253
29445,Aarong Cheese Spread Garlic 180 G,100254
29444,Aarong Cheese Spread Pizza 180 G,100255
29481,Aarong Cheezarella Cheese 500 G,100256
188760,Aarong Chinigura 2 KG,100257
133141,Aarong Chinigura Rice 1 KG,100258
188759,Aarong Chlnigura 1 KG,100259
115321,Aarong Choco Milk Uht Flav. 200 ML,100260
11922,Aarong Chocolate Milk 200 ML,100261
11943,Aarong Chocolate Milk Drink Uht 125 ML,100262
273306,Aarong Chula 1 KG,100263
28251,Aarong Cream Cheese Spread 180 G,100264
133978,Aarong Dairy Austagram Cheese 100 G,100265
133923,Aarong Dairy Borhani 200 ML,100266
133922,Aarong Dairy Borhani 1 Ltr,100267
29646,Aarong Dairy Butter | 200 G,100268
133996,Aarong Dairy Cheese Cubes Classic 120 G,100269
134044,Aarong Dairy Cheese S.chili Garlic 180 G,100270
133990,Aarong Dairy Cheese Spread Classic 180 G,100271
133992,Aarong Dairy Cheese Spread Garlic 180 G,100272
133991,Aarong Dairy Cheese Spread Pizza 180 G,100273
133987,Aarong Dairy Chocolate Milk Dr.uht 125 ML,100274
77903,Aarong Dairy Ghee 200 GM,100275
133967,Aarong Dairy Ghee Tin 100 G,100276
134034,Aarong Dairy Golapjam Tin 1 KG,100277
30764,Aarong Dairy Instant Full Cream Milk Powder 500 G,100278
97968,Aarong Dairy Kalojam 600 GM,100279
134038,Aarong Dairy Kalojam Tin 600 G,100280
81877,Aarong Dairy Laban 250 ML,100281
63375,Aarong Dairy Lassi 200 ML,100282
133972,Aarong Dairy Low Fat Yoghurt 500 G,100283
133989,Aarong Dairy Mango Milk Drink Uht 125 ML,100284
28794,Aarong Dairy Matha 200 ML,100285
28211,Aarong Dairy Mocha Uht Milk Drink 200 ML,100286
28851,Aarong Dairy Paneer 200 G,100287
134020,Aarong Dairy Poneer 200 G,100288
134037,Aarong Dairy Premium Liquid Milk 500 ML,100289
134036,Aarong Dairy Premium Liquid Milk 1 Ltr,100290
134021,Aarong Dairy Probiotic Yoghurt 500 G,100291
28580,Aarong Dairy Pure Ghee 200 G,100292
134035,Aarong Dairy Roshogolla Tin 600 G,100293
134045,Aarong Dairy S.cheese Peri Peri 204 G,100294
133993,Aarong Dairy Slice Cheese Classic 200±4 G,100295
29446,Aarong Dairy Sliced Cheese Classic 204 G,100296
29480,Aarong Dairy Sliced Cheese Peri Peri 204 G,100297
