item_id,item_name,product_code
133012,Aabesh M.blend Black Tea(b400 G G200 G F),100252
133058,Aabesh M.blend Tea(b400 G G.water Pot F.),100253
132960,Aabesh Magic Blend Black Tea 200 G(bogof),100254
9773,Aadi Honey Mustard 500 G Jar,100255
222389,Aafi Chanachur Hot 80 G,100256
108355,Aafi Mango,100257
100101,Aafi Mango Bar (10x10 G),100258
6768,Aafi Mango Fruit Drink 500 ML,100259
6767,Aafi Mango Fruit Drink 1ltr,100260
276964,Aafi Mango Fruit Drink 500 ML Pet,100261
9191,Aafi Mango Pickle 400 G,100262
189229,Aafi Mixed Pickle 400 GM,100263
9196,Aafi Mixed Pickle 400 G BD,100264
9190,Aafi Olive Pickle 400 G,100265
100277,Aafi Pickle (olive) 400 GM,100266
100280,Aafi Puffed Rice 250 GM,100267
100846,Aam Himshagor KG,100268
100843,Aam Lengra Premium KG,100269
44618,Aam Sotto Per KG,100270
133276,Aamontron Shaie Poly Pack,100271
41640,Aamra PC,100272
78137,Aamras Mango 250 ML,100273
57791,Aandh Bkng Soda,100274
132647,Aaram Apple 100% Fruit Juice 1ltr.,100275
6748,Aaram Apple Juice 1ltr,100276
28791,Aaram Juice Apple 1 Ltr,100277
132645,Aaram Mango 100% Fruit Juice 1ltr.,100278
31925,Aaram Mango Juice 1 L,100279
6746,Aaram Mango Juice 1ltr,100280
132646,Aaram Orange 100% Fruit Juice 1ltr.,100281
31926,Aaram Orange Juice 1 L,100282
6747,Aaram Orange Juice 1ltr,100283
29473,Aarong Austagram Cheese 100 GM,100284
188758,Aarong Banglamooti 5 KG,100285
133602,Aarong Banglamoti Rice 5 KG,100286
133603,Aarong Basmati Rice 1 KG,100287
203773,Aarong Bulk Butter 1 KG,100288
65675,Aarong Bundle Product,100289
29645,Aarong Butter 200 GM,100290
274637,Aarong Cheese Classic Pizza 204 GM,100291
186186,Aarong Cheese Cube 120 GM,100292
29478,Aarong Cheese Cube Claasic 120 G,100293
29479,Aarong Cheese Spread Chili Garlic 180 G,100294
29443,Aarong Cheese Spread Classic 180 G,100295
29445,Aarong Cheese Spread Garlic 180 G,100296
29444,Aarong Cheese Spread Pizza 180 G,100297
29481,Aarong Cheezarella Cheese 500 G,100298
188760,Aarong Chinigura 2 KG,100299
133141,Aarong Chinigura Rice 1 KG,100300
188759,Aarong Chlnigura 1 KG,100301
115321,Aarong Choco Milk Uht Flav. 200 ML,100302
11922,Aarong Chocolate Milk 200 ML,100303
11943,Aarong Chocolate Milk Drink Uht 125 ML,100304
273306,Aarong Chula 1 KG,100305
28251,Aarong Cream Cheese Spread 180 G,100306
133978,Aarong Dairy Austagram Cheese 100 G,100307
133923,Aarong Dairy Borhani 200 ML,100308
133922,Aarong Dairy Borhani 1ltr,100309
29646,Aarong Dairy Butter | 200 G,100310
133996,Aarong Dairy Cheese Cubes Classic 120 G,100311
134044,Aarong Dairy Cheese S.chili Garlic 180 G,100312
133990,Aarong Dairy Cheese Spread Classic 180 G,100313
133992,Aarong Dairy Cheese Spread Garlic 180 G,100314
133991,Aarong Dairy Cheese Spread Pizza 180 G,100315
133987,Aarong Dairy Chocolate Milk Dr.uht 125 ML,100316
77903,Aarong Dairy Ghee 200 GM,100317
133967,Aarong Dairy Ghee Tin 100 G,100318
134034,Aarong Dairy Golapjam Tin 1 KG,100319
30764,Aarong Dairy Instant Full Cream Milk Powder 500 G,100320
97968,Aarong Dairy Kalojam 600 GM,100321
134038,Aarong Dairy Kalojam Tin 600 G,100322
81877,Aarong Dairy Laban 250 ML,100323
63375,Aarong Dairy Lassi 200 ML,100324
133972,Aarong Dairy Low Fat Yoghurt 500 G,100325
133989,Aarong Dairy Mango Milk Drink Uht 125 ML,100326
28794,Aarong Dairy Matha 200 ML,100327
28211,Aarong Dairy Mocha Uht Milk Drink 200 ML,100328
28851,Aarong Dairy Paneer 200 G,100329
134020,Aarong Dairy Poneer 200 G,100330
134037,Aarong Dairy Premium Liquid Milk 500 ML,100331
134036,Aarong Dairy Premium Liquid Milk 1ltr,100332
134021,Aarong Dairy Probiotic Yoghurt 500 G,100333
