itemA,itemB,co_purchase_count
Ayir Fish (Small)-(HB),Gulsha Fish(Small)-(HB),2
Ayir Fish (Small)-(HB),Tomato L.C(kg),2
B Toilet Tissue Extra Saving Pack 4Rolls,Dragon Fruits (B),2
B Toilet Tissue Extra Saving Pack 4Rolls,Starship Cond. Milk 397g,2
B.B Tazza Black Tea -400g,Bashun Paper Towel 1Ply- 250Pcs,2
BD Kheer Mix-150g,Ramdhoni-50gm,2
Baby Corn(Fesh),Capsicum Green,2
Bacha Boot Pulse 1Kg,Net Pumpkin (Jali Kumra)-Pc,2
Barley For Eating-200gm,Snickers Chocolate-50gm,2
Bas. Kitchen Towels 1Roll,Mama Hot Noodles-496g,2
Bashu Facial Tissue 240Sheet,Prince Sour Curd-1kg,2
Bashu. Toilet Tissue (White),Usta(kg),2
Bashu. Toilet Tissue (White),Wheel 2in1 Clean & Fresh Powder-1Kg,2
Bashun Paper Towel - 250Pcs,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Bashun Paper Towel 1Ply- 250Pcs,Cardmom Big-50gm(Alachi),2
Bashun Paper Towel 1Ply- 250Pcs,Cardmom-50gm(Alachi),2
Bashun Paper Towel 1Ply- 250Pcs,Chia Seed (Dana) New-100g,2
Bashun Paper Towel 1Ply- 250Pcs,Mola Fish (THR),2
Bashundhara Atta-2kg,Bashundhara Paper Napkin-100p,2
Bashundhara Atta-2kg,Close-Up Menthol Fresh-160g,2
Bashundhara Atta-2kg,Green Chilli(kg),2
Bashundhara Atta-2kg,Mug Pulse (Sona)-1kg,2
Bashundhara Atta-2kg,Potato Deshi New-1kg,2
Bashundhara Atta-2kg,Tomato L.C(kg),2
Bashundhara Atta-2kg,Usta(kg),2
Bashundhara F Soyabean Oil-5L,Milk Vita (Ghee)-200g,2
Bashundhara F Soyabean Oil-5L,Mug Pulse (Sona)-1kg,2
Bashundhara F Soyabean Oil-5L,Shrimp Fish Bagda,2
Bashundhara Paper Napkin-100p,Golden Raisin (Kismis)-200gm,2
Bashundhara Paper Napkin-100p,Quality Premiun Paratha 20Pcs-1300g,2
Bashundhara Paper Napkin-100p,Seylon Gold Bland Tea Bag- 100g,2
Bashundhara Paper Napkin-100p,Teer Atta 2kg,2
Beef Bone Full,Beef Without Bone Special,2
Beef Bone Full,Cauliflower(B)-Pc,2
Beef Bone Full,Coca Cola-2.25Lt(Pet),2
Beef Bone Full,Cow Lever-K,2
Beef Bone Full,Cow Stomach-K,2
Beef Bone Full,Onion Deshi(New)-kg,2
Beef Bone Full,Shrimp Fish Bagda,2
Beef Bone Full,Teer Sugar-1Kg,2
Beef Italian Sausage 280gm,Buldak Noodles (All),2
Beef Without Bone Special,Coca Cola-2.25Lt(Pet),2
Bele Fish Small,Mola Fish (THR),2
Bele Fish Small,Shrimp Fish Bagda,2
Bele Fish Small,Tengra Fish,2
Belleame Choco Little Biscuit-45gm,Vim Bar Lemon-125gm,2
Belleame Cremo Biscuit- 90g,Shero Cream Biscut - 85gm,2
Black Cumin (Kalijira)-100gm,Radhuni Chilli Powder -200gm,2
Black Cumin (Kalijira)-100gm,Vim Bar 300g (Lemon),2
Black Fighter Max 10pis b,GH Chicken Meat Ball 400g,2
Bomby Chilli-5Pcs,Tomato L.C(kg),2
Boot Pulse(Broken)1Kg,Chira-500g,2
Boot Pulse(Broken)1Kg,Garlic China Big-(kg),2
Boot Pulse(Broken)1Kg,Mug Pulse (Sona)-1kg,2
Boot Pulse(Broken)1Kg,Radhuni Biriyani Masala-40g,2
Boot Pulse(Broken)1Kg,Teer Sugar-1Kg,2
Boot Pulse(Broken)1Kg,Wheel 2in1 Clean & Fresh Powder-1Kg,2
Borboti(kg),Capsicum Green,2
Borboti(kg),Cauliflower(B)-Pc,2
Borboti(kg),Green Chilli(kg),2
Borboti(kg),Green Papaya(kg),2
Borboti(kg),Lemon Elachi-Pc,2
Borboti(kg),Onion Deshi(New)-kg,2
Borboti(kg),Pusti Soyabean Oil-5Ltr,2
Borboti(kg),Rui Fish (S1)-(MNK),2
Borboti(kg),Snack Guard (Chichinga)-kg,2
Borboti(kg),Sweet Pumpkin(kg),2
Bottle Guard Big(Lau)-Pc,Lati Thik(Kg),2
Bottle Guard Big(Lau)-Pc,Parboil (Potol)-kg,2
Brinjal (Oval) Big-kg,Snack Guard (Chichinga)-kg,2
Brinjal (Oval) Big-kg,Sweet Pumpkin(kg),2
Brinjal Long (Thin)-kg,Coca Cola-2.25Lt(Pet),2
Brinjal Long (Thin)-kg,Cock Roast (Deshi)-PC,2
Brinjal Long (Thin)-kg,Ladies Finger (Vendi)-kg,2
Brinjal Long (Thin)-kg,Tomato L.C(kg),2
Brinjal Oval ( Tal Begun ) -kg,Easy Mix Roast Masala-35g,2
Brinjal Oval ( Tal Begun ) -kg,Green Papaya(kg),2
Brinjal Oval ( Tal Begun ) -kg,Teer Soyabean Oil-1Ltr,2
Brinjal Oval ( Tal Begun ) -kg,Vim Bar Lemon-125gm,2
Brooke Bond Taaza Black Tea-200g,Maggi Masala Noodles Family Pack-992gm,2
Brooke Bond Taaza Black Tea-200g,Mixed Powder Masalla-100gm,2
Brooke Bond Taaza Tea- 400gm,Surf Excel W Aloe Vera-1kg,2
CBL Munchee Chocolate Wafer-100g,Funtastic Ore Cream Pineapple,2
CP Chicken Nugget-320g,Vim Bar Lemon-125gm,2
Cabbage-Pc,Cauliflower(B)-Pc,2
Cabbage-Pc,Coriander Leaf Pcs-100gm,2
Cabbage-Pc,Cucumber (Hybrid)-kg,2
Cabbage-Pc,Cucumber Deshi (kg),2
Calender Pineapple,Thai Guava,2
Calender Pineapple,Thai Papaya Ripe Red Lady,2
Capsicum Green,Carrot (China)-kg,2
Capsicum Green,Cauliflower(B)-Pc,2
Capsicum Green,Chicken Deshi (Pakistani) Cock,2
Capsicum Green,Eye Of Arum(Tall) (Kachurmukhi)-kg,2
Capsicum Green,Onion Deshi(New)-kg,2
Capsicum Green,Snack Guard (Chichinga)-kg,2
Capsicum Green,Tomato L.C(kg),2
Cardmom-50gm(Alachi),Chia Seed (Dana) New-100g,2
Cardmom-50gm(Alachi),Cinnamon-100g (Daruchine),2
Cardmom-50gm(Alachi),Cow Stomach-K,2
Cardmom-50gm(Alachi),Golden Raisin (Kismis)-200gm,2
Cardmom-50gm(Alachi),Mixed Masalla-100gm,2
Cardmom-50gm(Alachi),Radhuni Biriyani Masala-40g,2
Cardmom-50gm(Alachi),Radhuni Kheer Mix 150gm,2
Cardmom-50gm(Alachi),Radhuni Spices (Corinder)-100gm,2
Carrot (China)-kg,Cauliflower(B)-Pc,2
Carrot (China)-kg,Chicken Deshi (Pakistani) Cock,2
Carrot (China)-kg,Garlic China Big-(kg),2
Carrot (China)-kg,Ginger Barmiz-(Kg),2
Carrot (China)-kg,Green Papaya(kg),2
Carrot (China)-kg,Lati Thik(Kg),2
Carrot (China)-kg,Onion Deshi(New)-kg,2
Carrot (China)-kg,Parboil (Potol)-kg,2
Carrot (China)-kg,Radhuni Tehari Masala-45g,2
Carrot (China)-kg,Shrimp Fish Bagda,2
Carrot (China)-kg,Snack Guard (Chichinga)-kg,2
